timestamp,latitude,longitude,temperature,feels_like,humidity,pressure,wind_speed,precipitation,rain_probability,visibility,risk_level
2026-01-01T10:00:00,13.08,80.27,25,26,55,1013,8,0,5,10,LOW
2026-01-01T11:00:00,13.08,80.27,28,30,60,1012,10,0,10,10,LOW
2026-01-01T12:00:00,13.08,80.27,31,34,65,1011,12,0,20,10,MODERATE
2026-01-01T13:00:00,13.08,80.27,34,38,72,1008,18,4,45,9,MODERATE
2026-01-02T14:00:00,13.08,80.27,39,43,78,1005,22,12,70,7,HIGH
2026-01-03T15:00:00,13.08,80.27,42,47,80,1002,25,20,85,5,HIGH
2026-01-04T16:00:00,13.08,80.27,46,51,85,998,30,55,95,3,EXTREME
2026-01-05T09:00:00,13.08,80.27,27,29,60,1015,7,0,5,10,LOW
2026-01-06T14:00:00,13.08,80.27,36,40,75,1007,20,8,60,8,MODERATE
2026-01-07T17:00:00,13.08,80.27,40,44,82,1003,28,25,90,5,HIGH
